id_unidad;blanco_y_nulo;FA;Otros;PLN;PLP;PNR;PSD;PUSC;votos;habilitados
00-1-01-01-0001;0;47;17;69;36;14;36;33;252;423
00-1-01-01-0002;1;33;10;73;55;11;40;26;249;423
00-1-01-01-0003;4;34;17;61;40;17;32;26;231;424
00-1-01-01-0004;4;55;23;115;59;18;45;34;353;547
00-1-01-01-0005;3;51;18;107;45;22;47;44;337;547
00-1-01-01-0007;1;55;24;97;62;21;47;32;339;547
00-1-01-01-0008;3;52;17;100;60;23;33;42;330;547
00-1-01-01-0009;1;35;24;112;66;26;35;44;343;547
00-1-01-01-0010;1;63;17;108;58;15;41;37;340;548
00-1-01-02-0011;4;20;18;81;49;36;67;25;300;565
00-1-01-02-0012;1;27;25;82;49;43;61;35;323;565
00-1-01-02-0013;2;38;15;76;51;41;56;32;311;565
00-1-01-02-0014;2;23;25;97;51;33;66;30;327;565
00-1-01-02-0015;0;25;16;94;27;40;56;46;304;565
00-1-01-02-0016;3;21;15;98;43;39;59;28;306;565
00-1-01-02-0017;6;23;28;80;43;39;63;31;313;565
00-1-01-02-0018;5;29;8;101;41;28;53;28;293;565
00-1-01-02-0020;3;27;10;85;33;45;59;34;296;565
00-1-01-02-0021;2;22;22;79;37;38;46;39;285;565
00-1-01-02-0022;2;28;16;106;56;50;56;35;349;565
00-1-01-02-0023;1;21;26;101;43;31;52;34;309;565
00-1-01-02-0024;3;19;18;99;46;31;61;43;320;565
00-1-01-02-0025;3;29;18;78;50;40;59;36;313;565
00-1-01-02-0026;3;40;25;87;71;35;48;31;340;532
00-1-01-02-0027;0;35;20;103;61;33;43;39;334;532
00-1-01-02-0028;4;42;23;74;57;28;63;35;326;533
00-1-01-03-0029;0;15;21;85;31;48;31;33;264;551
00-1-01-03-0030;2;20;20;74;31;52;35;27;261;551
00-1-01-03-0031;1;20;12;63;25;35;40;29;225;552
00-1-01-03-0032;1;22;10;95;43;46;63;37;317;542
00-1-01-03-0033;3;29;20;76;43;51;51;51;324;542
00-1-01-03-0034;7;22;21;78;45;54;46;39;312;542
00-1-01-03-0035;2;21;24;84;36;48;44;42;301;542
